File Name,Upload Time (seconds)
file-u_1,3.25
file-u_2,2.57
file-u_3,2.09
file-u_4,1.92
file-u_5,1.90
file-u_6,2.09
file-u_7,1.89
file-u_8,1.85
file-u_9,2.17
file-u_10,1.88
file-u_11,1.82
file-u_12,2.06
file-u_13,1.93
file-u_14,1.85
file-u_15,1.84
file-u_16,1.85
file-u_17,1.99
file-u_18,1.85
file-u_19,2.00
file-u_20,2.04
file-u_21,2.02
file-u_22,1.93
file-u_23,2.04
file-u_24,1.91
file-u_25,1.92
file-u_26,1.92
file-u_27,1.85
file-u_28,1.94
file-u_29,1.92
file-u_30,1.90
file-u_31,1.95
file-u_32,1.92
file-u_33,2.01
file-u_34,1.78
file-u_35,1.78
file-u_36,1.92
file-u_37,1.87
file-u_38,1.85
file-u_39,2.05
file-u_40,1.74
file-u_41,1.97
file-u_42,2.06
file-u_43,1.94
file-u_44,2.05
file-u_45,1.96
file-u_46,2.02
file-u_47,1.89
file-u_48,1.91
file-u_49,1.94
file-u_50,1.99
file-u_51,1.79
file-u_52,1.90
file-u_53,1.97
file-u_54,1.90
file-u_55,1.96
file-u_56,2.02
file-u_57,1.90
file-u_58,2.20
file-u_59,2.04
file-u_60,2.01
file-u_61,1.85
file-u_62,1.92
file-u_63,1.81
file-u_64,1.75
file-u_65,1.89
file-u_66,1.96
file-u_67,1.96
file-u_68,1.83
file-u_69,1.90
file-u_70,1.74
file-u_71,1.83
file-u_72,1.96
file-u_73,2.03
file-u_74,2.00
file-u_75,2.13
file-u_76,1.76
file-u_77,2.14
file-u_78,1.91
file-u_79,1.91
file-u_80,1.89
file-u_81,2.04
file-u_82,1.98
file-u_83,1.92
file-u_84,1.72
file-u_85,1.74
file-u_86,1.93
file-u_87,2.00
file-u_88,1.87
file-u_89,3.62
file-u_90,1.84
file-u_91,1.81
file-u_92,1.90
file-u_93,1.87
file-u_94,2.03
file-u_95,2.00
file-u_96,1.84
file-u_97,1.73
file-u_98,2.08
file-u_99,1.82
file-u_100,1.99
