File Name,Upload Time (seconds)
file_1,3.28
file_2,2.91
file_3,1.97
file_4,2.92
file_5,1.70
file_6,2.56
file_7,2.07
file_8,1.91
file_9,1.91
file_10,3.19
file_11,1.84
file_12,3.06
file_13,2.14
file_14,1.89
file_15,1.91
file_16,2.33
file_17,1.73
file_18,3.18
file_19,1.83
file_20,1.65
file_21,1.73
file_22,2.14
file_23,2.14
file_24,2.68
file_25,3.24
file_26,1.66
file_27,4.53
file_28,3.04
file_29,2.78
file_30,3.61
file_31,3.39
file_32,1.92
file_33,1.74
file_34,3.44
file_35,2.33
file_36,1.66
file_37,1.92
file_38,3.49
file_39,1.72
file_40,2.87
file_41,2.86
file_42,2.05
file_43,1.85
file_44,1.80
file_45,1.74
file_46,1.84
file_47,1.69
file_48,1.91
file_49,1.83
file_50,1.77
file_51,1.71
file_52,1.79
file_53,2.08
file_54,2.28
file_55,1.70
file_56,1.64
file_57,1.93
file_58,3.45
file_59,2.65
file_60,2.10
file_61,3.17
file_62,2.88
file_63,1.74
file_64,2.15
file_65,2.83
file_66,1.84
file_67,2.20
file_68,2.89
file_69,2.11
file_70,3.42
file_71,2.09
file_72,1.96
file_73,1.78
file_74,2.34
file_75,1.64
file_76,1.64
file_77,2.59
file_78,1.68
file_79,2.29
file_80,1.93
file_81,1.64
file_82,4.30
file_83,2.04
file_84,2.12
file_85,1.75
file_86,2.00
file_87,2.14
file_88,3.28
file_89,1.71
file_90,3.93
file_91,3.40
file_92,2.24
file_93,2.16
file_94,3.30
file_95,1.80
file_96,3.38
file_97,2.44
file_98,2.59
file_99,2.03
file_100,2.33
