File Name,Upload Time (seconds)
file_1,7.52
file_2,7.66
file_3,6.87
file_4,7.09
file_5,7.28
file_6,7.09
file_7,7.13
file_8,7.04
file_9,7.16
file_10,7.07
file_11,7.04
file_12,7.03
file_13,7.28
file_14,7.07
file_15,7.35
file_16,6.93
file_17,6.96
file_18,7.59
file_19,7.99
file_20,7.86
file_21,7.65
file_22,7.82
file_23,7.09
file_24,7.22
file_25,7.28
file_26,7.12
file_27,6.94
file_28,6.89
file_29,6.99
file_30,6.90
file_31,7.18
file_32,7.01
file_33,7.22
file_34,7.03
file_35,7.09
file_36,6.97
file_37,7.42
file_38,6.92
file_39,7.03
file_40,6.76
file_41,6.98
file_42,7.07
file_43,6.94
file_44,7.12
file_45,7.11
file_46,7.13
file_47,7.19
file_48,6.95
file_49,7.15
file_50,6.98
file_51,6.96
file_52,7.08
file_53,7.17
file_54,7.17
file_55,6.98
file_56,7.26
file_57,7.09
file_58,7.18
file_59,7.01
file_60,7.05
file_61,7.07
file_62,7.04
file_63,6.98
file_64,7.08
file_65,7.06
file_66,7.06
file_67,6.89
file_68,7.19
file_69,6.99
file_70,7.15
file_71,7.02
file_72,7.11
file_73,7.05
file_74,7.07
file_75,7.14
file_76,7.11
file_77,6.96
file_78,7.21
file_79,7.14
file_80,6.99
file_81,7.17
file_82,7.13
file_83,7.18
file_84,7.11
file_85,7.07
file_86,7.06
file_87,7.09
file_88,7.05
file_89,7.07
file_90,6.97
file_91,7.14
file_92,6.94
file_93,7.02
file_94,7.10
file_95,7.13
file_96,6.78
file_97,7.09
file_98,6.98
file_99,7.15
file_100,7.14
