File Name,Upload Time (seconds)
file_1,5.57
file_2,3.16
file_3,5.52
file_4,5.82
file_5,5.03
file_6,3.24
file_7,3.68
file_8,5.12
file_9,3.78
file_10,3.58
file_11,4.60
file_12,4.09
file_13,8.58
file_14,3.37
file_15,4.47
file_16,3.31
file_17,3.26
file_18,2.96
file_19,4.99
file_20,14.76
file_21,3.48
file_22,3.26
file_23,3.98
file_24,3.19
file_25,8.16
file_26,4.90
file_27,19.04
file_28,8.71
file_29,3.23
file_30,3.09
file_31,3.67
file_32,3.38
file_33,3.89
file_34,3.05
file_35,3.28
file_36,4.61
file_37,5.98
file_38,6.78
file_39,3.53
file_40,4.68
file_41,5.31
file_42,4.24
file_43,7.11
file_44,11.55
file_45,5.33
file_46,2.87
file_47,4.22
file_48,3.42
file_49,3.67
file_50,4.96
file_51,6.07
file_52,4.26
file_53,3.19
file_54,2.83
file_55,2.76
file_56,3.09
file_57,3.84
file_58,8.06
file_59,4.60
file_60,2.92
file_61,2.83
file_62,3.43
file_63,3.16
file_64,2.90
file_65,4.11
file_66,11.99
file_67,3.38
file_68,3.20
file_69,3.33
file_70,6.33
file_71,5.33
file_72,15.96
file_73,5.19
file_74,4.03
file_75,5.80
file_76,5.73
file_77,6.22
file_78,4.13
file_79,4.05
file_80,4.65
file_81,3.33
file_82,3.99
file_83,3.98
file_84,4.41
file_85,5.68
file_86,13.65
file_87,3.42
file_88,3.32
file_89,2.84
file_90,4.02
file_91,3.42
file_92,3.14
file_93,5.27
file_94,4.55
file_95,3.30
file_96,4.52
file_97,6.63
file_98,3.35
file_99,2.82
file_100,15.27
